customer_id,last_visit_date,total_spent,visit_count,membership_type
C001,2025-10-15,12000,15,VIP
C002,2025-11-20,500,1,BASIC
C003,2025-09-01,8900,8,STANDARD
C004,2025-12-05,25000,20,VIP
C005,2025-08-10,3200,4,BASIC
C006,2025-11-01,1500,2,BASIC
C007,2025-07-20,45000,18,VIP
C008,2025-10-05,6700,6,STANDARD
C009,2025-12-10,900,1,BASIC
C010,2025-09-15,11000,10,VIP
C011,2025-11-25,2300,3,BASIC
C012,2025-08-30,7800,7,STANDARD
C013,2025-12-15,30000,22,VIP
C014,2025-07-05,1200,2,BASIC
C015,2025-10-20,5600,5,STANDARD
C016,2025-11-10,42000,19,VIP
C017,2025-09-25,800,1,BASIC
C018,2025-12-20,9500,9,STANDARD
C019,2025-08-15,18000,14,VIP
C020,2025-11-05,2100,3,BASIC
C021,2025-07-10,6200,6,STANDARD
C022,2025-10-25,35000,17,VIP
C023,2025-12-01,1300,2,BASIC
C024,2025-09-05,7100,7,STANDARD
C025,2025-11-30,28000,16,VIP
C026,2025-08-20,1600,2,BASIC
C027,2025-10-10,8500,8,STANDARD
C028,2025-12-25,50000,25,VIP
C029,2025-07-15,2900,4,BASIC
C030,2025-11-15,6900,6,STANDARD
